Age,Nationality1,Nationality2,Locality,Special Need,Support,Student Type,Profession,Professional Situation,Professional Group,Mother's Profession,Mother's Habilitation,Mother's Professional Situation,Mother's Professional Group,Father's Profession,Father's Habilitation,Father's Professional Group,Father's Professional Situation,Academic Year,Course,Faculty,Scholarship,Admission,Status,DGES Info,Admission Category,Admission Grade
28,Portugal,Unknown,LOULÉ,No,No,Estudante a Tempo Inteiro,Unknown,"Aluno, estudante",Unknown,Unknown,Unknown,"Aluno, estudante",Unknown,Unknown,Unknown,Unknown,"Aluno, estudante",200506,CURSO BIETÁPICO EM ENGENHARIA CIVIL - 1.º CICLO - (Nocturno),Instituto Superior de Engenharia,No,CONCURSOS ESPECIAIS,0,Unknown,Unknown,Unknown
28,Portugal,Unknown,SÃO BRÁS DE ALPORTEL,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM GESTÃO - 1.º CICLO - (Nocturno),"Escola Superior de Gestão, Hotelaria e Turismo",No,Transferência,0,Unknown,Unknown,Unknown
30,Portugal,Unknown,OLHÃO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ENGENHARIA CIVIL - 1.º CICLO - (Nocturno),Instituto Superior de Engenharia,No,CURSOS BIETÁPICOS (INICÍO 1998/99),0,Unknown,Unknown,Unknown
28,Portugal,Unknown,TAVIRA,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ENGENHARIA CIVIL - 1.º CICLO - (Nocturno),Instituto Superior de Engenharia,No,FASE 1,0,1 - Concurso nacional de acesso,Unknown,Unknown
30,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ENGENHARIA CIVIL - 1.º CICLO - (Nocturno),Instituto Superior de Engenharia,No,Titulares de cursos médios e superiores,0,8 - Concurso especial titulares outros cursos superiores,Unknown,Unknown
30,Portugal,Unknown,LOULÉ,No,No,Estudante a Tempo Inteiro,Outra situação,Trabalhador por conta própria como empregador,"Especialistas em finanças, contabilidade, organização administrativa, relações públicas e comerciais ",Outra situação,Não disponível,Outra situação,Não sabe,Outra situação,Ensino superior - bacharelato,"Especialistas das ciências físicas, matemáticas, engenharias e técnicas afins",Trabalhador por conta própria como empregador,200506,CURSO BIETÁPICO EM ENGENHARIA ELÉCTRICA E ELECTRÓNICA - 1.º CICLO - (DIURNO),Instituto Superior de Engenharia,No,Titulares de cursos médios e superiores,0,8 - Concurso especial titulares outros cursos superiores,Unknown,Unknown
28,Portugal,Unknown,LOULÉ,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ASSESSORIA DE ADMINISTRAÇÃO - 1.º CICLO - (Nocturno),"Escola Superior de Gestão, Hotelaria e Turismo",No,Titulares de cursos médios e superiores,0,8 - Concurso especial titulares outros cursos superiores,Unknown,Unknown
41,Portugal,Unknown,SÃO BRÁS DE ALPORTEL,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM GESTÃO - 1.º CICLO - (Nocturno),"Escola Superior de Gestão, Hotelaria e Turismo",No,Mudança de Curso,0,12 - Mudança de curso,Unknown,Unknown
27,Portugal,Unknown,FARO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ENGENHARIA MECÂNICA - 1.º CICLO,Instituto Superior de Engenharia,No,CURSOS BIETÁPICOS (INICÍO 1998/99),0,Unknown,Unknown,Unknown
27,Portugal,Unknown,OLHÃO,No,No,Estudante a Tempo Inteiro,Unknown,Trabalhador por conta de outrem,Alunos com grupo profissional para corrigir,Unknown,Ensino superior - licenciatura,Reformado,Outra situação,Unknown,Ensino básico 3.º ciclo - 9.º ano de escolaridade ,Pessoal administrativo,Reformado,200506,CURSO BIETÁPICO EM ENGENHARIA CIVIL - 1.º CICLO - (Nocturno),Instituto Superior de Engenharia,No,Titulares de cursos médios e superiores,0,8 - Concurso especial titulares outros cursos superiores,Unknown,Unknown
28,Portugal,Unknown,LISBOA,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ENGENHARIA CIVIL - 1.º CICLO - (Nocturno),Instituto Superior de Engenharia,No,Titulares de cursos médios e superiores,0,8 - Concurso especial titulares outros cursos superiores,Unknown,Unknown
28,Portugal,Unknown,VILA NOVA DE CACELA,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ENGENHARIA CIVIL - 1.º CICLO - (Nocturno),Instituto Superior de Engenharia,No,Titulares de cursos médios e superiores,0,8 - Concurso especial titulares outros cursos superiores,Unknown,Unknown
37,Portugal,Unknown,LOULÉ,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ENGENHARIA CIVIL - 1.º CICLO - (Nocturno),Instituto Superior de Engenharia,No,Mudança de Curso,0,12 - Mudança de curso,Unknown,Unknown
31,Portugal,Unknown,PORTIMÃO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ENGENHARIA ELÉCTRICA E ELECTRÓNICA - 1.º CICLO - (DIURNO),Instituto Superior de Engenharia,No,CURSOS BIETÁPICOS (INICÍO 1998/99),0,Unknown,Unknown,Unknown
29,Portugal,Unknown,OLHÃO,No,No,Estudante a Tempo Inteiro,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,200506,CURSO BIETÁPICO EM ENGENHARIA CIVIL - 1.º CICLO - (Nocturno),Instituto Superior de Engenharia,No,Mudança de Curso,0,12 - Mudança de curso,Unknown,Unknown
